,fixation_id,fixation_run_id,fixation_start_event_time,fixation_order_number,x,y,fixation_target,source_file_line,source_file_col,token,syntactic_category,xpath,left_pupil_diameter,right_pupil_diameter,duration
0,a59f16c6-083a-4b27-b049-ebceb6b7230d,1741382467368,133559857765587336,1,1309.74,413.579,openaudible.txt,17,98,,,,3.4673,3.31043,675
1,394d19fb-b3de-435e-afca-a63ec2453bf8,1741382467368,133559857772835285,2,1050.34,374.632,openaudible.txt,15,69,,,,3.4706,3.37882,334
2,a0ae1f89-6f83-45d1-9468-be4281947c1c,1741382467368,133559857776424314,3,952.074,308.185,openaudible.txt,11,58,,,,3.47192,3.36531,216
3,3abdd7ca-dc6e-4c9c-8746-6512e4876d2a,1741382467368,133559857779058876,4,568.179,175.768,openaudible.txt,5,13,,,,3.55722,3.41876,961
4,489dd0dc-55fb-4856-a357-771cc1037ad7,1741382467368,133559857790343283,5,559.235,114.294,openaudible.txt,1,15,,,,3.57929,3.44835,183
5,2009a62d-0087-4271-9769-af216d95bbf3,1741382467368,133559857792505196,6,444.755,111.163,openaudible.txt,1,2,,,,3.63188,3.52701,451
6,d81b5575-f21b-4033-a64e-cc3fca24faed,1741382467368,133559857809092603,7,683.478,519.217,openaudible.txt,22,25,,,,3.44454,3.35892,275
7,7170986b-6ea2-407e-b302-4b8e49bccebf,1741382467368,133559857821343268,8,558.762,201.714,openaudible.txt,6,11,,,,3.43131,3.43319,166
8,e80cdba7-90ed-4235-a37b-6169b7f2d00c,1741382467368,133559857823178517,9,502.915,150.525,openaudible.txt,3,8,,,,3.51438,3.47267,491
9,bab0b57e-66d5-411c-9c62-3c29af8c01a3,1741382467368,133559857829596090,10,551.268,157.756,openaudible.txt,3,13,,,,3.5472,3.45486,345
10,528e75d9-10d8-451d-ba2c-e9c4a855bf3e,1741382467368,133559857834593042,11,638.612,155.955,openaudible.txt,3,19,,,,3.60498,3.44857,741
11,1bda7bbb-3966-428c-9c31-24dd8ac6287c,1741382467368,133559857842176954,12,603.375,167.25,openaudible.txt,4,12,,,,3.62271,3.49791,458
12,56b6f359-c5b8-4b0f-9da4-a5018f9c933b,1741382467368,133559857846927270,13,781.682,168.159,openaudible.txt,4,36,,,,3.63402,3.50046,366
13,3884d68c-d83c-4cca-acdf-7938fb4b96c4,1741382467368,133559857850759262,14,939.571,163.5,openaudible.txt,4,54,,,,3.61507,3.49983,658
14,090315f0-8e3d-46d1-93e0-17ca1350c6d5,1741382467368,133559857857675787,15,658.574,161.352,openaudible.txt,4,19,,,,3.6365,3.55383,475
15,33927a9e-c231-4b18-ab84-459c1b027437,1741382467368,133559857862757792,16,792.167,162.833,openaudible.txt,4,37,,,,3.69253,3.5794,250
16,e439e418-29c2-4c23-9c4f-92481b39be12,1741382467368,133559857865569072,17,575.407,168.977,openaudible.txt,4,13,,,,3.67374,3.54018,711
