participant,session,method,project,path,summary,Accuracy,Completeness,Conciseness,Clarity
8,2,6,freecol,freecol>client>gui>mapviewer>CanvasMapViewer.java> drawRenderingTimeStrings [line 121],Calculates and draws the text given the text and time parameters. Calculates the mean of the render time and draws the text getting as output the time it takes to draw the specified text. Useful to calculate the average rate of render given the text string.,5,5,5,5
7,3,5,freecol,freecol>client>gui>mapviewer>CanvasMapViewer.java> drawRenderingTimeStrings [line 121],"This method calculates the average and the last render time of the map. It calculates the time map render in milliseconds, calculates the average time, and draws the string with the information. The map viewer of the game allows players to see the map render time using this method.",5,5,5,5
3,5,8,freecol,freecol>client>gui>mapviewer>CanvasMapViewer.java> drawRenderingTimeStrings [line 121],"This method draws information on the screen about the time it has taken to render the map.  The method takes in a graphics object, a start time in milliseconds, and a boolean flag indicating if the map was rendered without using the back buffer, calculates the render time based on the current time and the input start time, and draws informational strings about the last render time and the last and average render times for the full map, taking into account if the information passed in was for a full map generation or not.  This methods helps users to know how effectively their game is rendering by providing them helpful information about how long the map takes to render.",5,5,2,5
4,2,2,freecol,freecol>client>gui>mapviewer>CanvasMapViewer.java> drawRenderingTimeStrings [line 121],"This method draws strings that contains information about the map rendering. This method first sets a white background, and then it obtains the time it takes to render the map and then it plot the strings that contain information for time cost to render this and last map and average time. It can be used when painting a component about rendering time in the game.",5,2,5,5
12,5,7,freecol,freecol>client>gui>mapviewer>CanvasMapViewer.java> drawRenderingTimeStrings [line 121],"This method draws the average and the last full map rendering time and last rendering time.  It first calculates the last rendering time by subtracting current system time with the starting time, then if it is full map rendered with using back buffer, it calculate the average full map render time, and finally output the average and the last full map rendering time and last rendering time in the unit of frame per second.  This method is useful when you want to draw the rendering time of a full map.",5,5,5,4
10,4,2,freecol,freecol>client>gui>mapviewer>CanvasMapViewer.java> drawRenderingTimeStrings [line 121],"This method draws the rendering time string in the graphics.  This method finds out the render time by subtracting the start time and current time, then recalculates the average render time if the full map is rendered without using the  backbuffer, and finally draws these information on the graphics. This method can be helpful during debugging and rendering information can provide valuable information.",5,4,5,5
9,4,4,freecol,freecol>client>gui>mapviewer>CanvasMapViewer.java> drawRenderingTimeStrings [line 121],This method is for drawing the Strings of the average and last render times for the full map and the last render time. The method sets the color of the inputed graphics to white and then calculates the render times before drawing the String by concatenating the calculated render times with the pretext for display. This method is used by the project if the project is painting a component and the FreeColDebugger is in the state of DebugRendering.,3,4,4,4
11,4,5,freecol,freecol>client>gui>mapviewer>CanvasMapViewer.java> drawRenderingTimeStrings [line 121],"This method seems to be used for displaying how long it took to render the entire map  This method updates some values to keep track of the average render time of the full map (how many renders, current render time, running average render time) and then displays this information as strings on the screen  This method is useful for the player to keep track of the game's performance on the computer, for example by checking that the render time does not get progressively slower",5,5,5,5
6,3,5,freecol,freecol>client>gui>mapviewer>CanvasMapViewer.java> drawRenderingTimeStrings [line 121],This method takes a graphics objects and renders a canvas map object with time stamps of when the map was last rendered so that art can be rendered on top of it according to said time stamps.  The method starts by rendering a white canvas and timestamps the process it takes to do that from the time that the method was called. All of these render times are then logged with the Graphics object.  This method appears to be a utility/debugging function to timestamp how long it takes to render maps within the game and to what FPS frame rate. This would be useful if game loading times begin to take too long and would help identify the culprit.,4,5,2,5
8,2,7,freecol,freecol>client>gui>SwingGUI.java> updateUnitPath [line 443],"Based on the active cells and destination, updates the path. If it is not active the method will not perform the next sequence, else will check the disposed cells and update the path. Useful to update the active cells and paths based on destination.",4,4,5,5
